10.237.93.0,255.255.255.0,VLAN10,8038,PRICE WATERHOUSE COOPERS,Managed by TC New Zealand,PRICE WATERHOUSE COOPERS,Auckland,New Zealand,abc,def
10.234.96.0,255.255.255.0,VLAN20,8038,WESTPAC NEW ZEALAND,CADP Production VLAN20,WESTPAC NEW ZEALAND,Auckland,New Zealand,abc,def
10.224.0.0,255.240.0.0,NEW ZEALAND NETWORK,8038,WESTPAC NEW ZEALAND,New Zealand Ip Space,WESTPAC NEW ZEALAND,Auckland,New Zealand,abc,def
10.221.74.0,255.255.255.128,VLAN101,A002,BA,user vlan,BA,Central,Fiji,abc,def
10.221.35.0,255.255.255.128,VLAN10,A002,BA,,BA,Central,Fiji,abc,def
10.221.69.0,255.255.255.128,VLAN101,A003,LABASA,user vlan,LABASA,Northern,Fiji,abc,def
10.221.36.128,255.255.255.128,VLAN10,A003,LABASA,,LABASA,Northern,Fiji,abc,def
10.221.69.128,255.255.255.128,VLAN101,A004,LAUTOKA,User Vlan,LAUTOKA,Western,Fiji,abc,def
10.221.35.128,255.255.255.128,VLAN10,A004,LAUTOKA,,LAUTOKA,Western,Fiji,abc,def
10.221.68.0,255.255.255.192,VLAN101,A005,LEVUKA,,LEVUKA,Eastern,Fiji,abc,def
10.221.34.128,255.255.255.128,VLAN10,A005,LEVUKA,vlan10,LEVUKA,Eastern,Fiji,abc,def
10.221.54.0,255.255.255.192,VLAN101,A006,NABUA,user vlan,NABUA,Central,Fiji,abc,def
10.221.55.0,255.255.255.0,DR AML - NABUA,A006,NABUA,static route to 10.221.37.184 refer Stanley Singh & Jacky Liong discussions 10/9/2009,NABUA,Central,Fiji,abc,def
10.221.70.128,255.255.255.128,VLAN101,A007,NADI,User Vlan,NADI,western,Fiji,abc,def
10.221.36.0,255.255.255.128,VLAN10,A007,NADI,,NADI,Western,Fiji,abc,def
10.221.71.0,255.255.255.128,VLAN101,A008,NAMAKA,User Vlan,NAMAKA,Western,Fiji,abc,def
10.221.33.0,255.255.255.128,VLAN10,A008,NAMAKA,,NAMAKA,Western,Fiji,abc,def
10.221.71.128,255.255.255.192,VLAN101,A009,NAUSORI,User Vlan,NAUSORI,Central,Fiji,abc,def
10.221.37.0,255.255.255.128,VLAN10,A009,NAUSORI,,NAUSORI,Central,Fiji,abc,def
10.221.175.224,255.255.255.224,VLAN899,A00A,SAMOA HEAD OFFICE,IGP VLAN & Core Point to Point links,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.160.128,255.255.255.192,VLAN103,A00A,SAMOA HEAD OFFICE,Core User Vlan 3,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.160.64,255.255.255.192,VLAN102,A00A,SAMOA HEAD OFFICE,Core User Vlan2,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.160.0,255.255.255.192,VLAN101,A00A,SAMOA HEAD OFFICE,Core user VLAN 101,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.166.0,255.255.255.0,SAMOAN BRANCH/CORP,A00A,SAMOA HEAD OFFICE,Branches/Corporates,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.167.0,255.255.255.0,SAMOAN BRANCH/CORP,A00A,SAMOA HEAD OFFICE,Samoan Branches & Corporates,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.165.0,255.255.255.192,SAMOA AML,A00A,SAMOA HEAD OFFICE,Pacific Anti Money Laundering networks (AML)... static route to 10.221.164.181,SAMOA HEAD OFFICE,Atua,Samoa,abc,def
10.221.169.0,255.255.255.192,VLAN101,A00B,SAVAII,,SAVAII,Atua,Samoa,abc,def
10.221.168.0,255.255.255.128,VLAN10,A00B,SAVAII,,SAVAII,Atua,Samoa,abc,def
10.221.169.128,255.255.255.192,VLAN101,A00E,FRANKIES SUPERMARKET BRANCH,,FRANKIES SUPERMARKET BRANCH,Atua,Samoa,abc,def
10.221.168.128,255.255.255.128,VLAN10,A00E,FRANKIES SUPERMARKET BRANCH,,FRANKIES SUPERMARKET BRANCH,Atua,Samoa,abc,def
10.221.175.0,255.255.255.192,SAMOAN LOOPBACK RANG,A00E,FRANKIES SUPERMARKET BRANCH,,FRANKIES SUPERMARKET BRANCH,Atua,Samoa,abc,def
10.221.170.0,255.255.255.0,SAMOAN BRANCH/CORP,A00E,FRANKIES SUPERMARKET BRANCH,,FRANKIES SUPERMARKET BRANCH,Atua,Samoa,abc,def
10.221.71.192,255.255.255.192,VLAN101,A010,RAKIRAKI,user vlan,RAKIRAKI,Western,Fiji,abc,def
10.221.33.128,255.255.255.128,VLAN10,A010,RAKIRAKI,,RAKIRAKI,Western,Fiji,abc,def
10.221.68.64,255.255.255.192,VLAN101,A011,SAVUSAVU,,SAVUSAVU,Northern,Fiji,abc,def
10.221.34.0,255.255.255.128,VLAN10,A011,SAVUSAVU,,SAVUSAVU,Northern,Fiji,abc,def
10.221.72.128,255.255.255.128,VLAN101,A012,SIGATOKA,User Vlan,SIGATOKA,Western,Fiji,abc,def
10.221.32.128,255.255.255.128,VLAN10,A012,SIGATOKA,,SIGATOKA,Western,Fiji,abc,def
10.221.43.0,255.255.255.192,VLAN109,A013,SUVA,Ip Allocation managed by Westpac,SUVA,Central,Fiji,abc,def
10.221.42.192,255.255.255.192,VLAN108,A013,SUVA,User vlan 108,SUVA,Central,Fiji,abc,def
10.221.42.128,255.255.255.192,VLAN107,A013,SUVA,User Vlan,SUVA,Central,Fiji,abc,def
10.221.42.64,255.255.255.192,VLAN106,A013,SUVA,User Vlan,SUVA,Central,Fiji,abc,def
10.221.42.0,255.255.255.192,VLAN105,A013,SUVA,User Vlan,SUVA,Central,Fiji,abc,def
10.221.41.192,255.255.255.192,VLAN104,A013,SUVA,User Vlan,SUVA,Central,Fiji,abc,def
10.221.41.128,255.255.255.192,VLAN103,A013,SUVA,User Vlan,SUVA,Central,Fiji,abc,def
10.221.41.64,255.255.255.192,VLAN102,A013,SUVA,User Vlan,SUVA,Central,Fiji,abc,def
10.221.41.0,255.255.255.192,VLAN101,A013,SUVA,User Vlan 101,SUVA,Central,Fiji,abc,def
10.221.64.0,255.255.255.0,VLAN10,A013,SUVA,FIJI-A013-LAN01 - This range will replace the 10.6.41.0 Subnet (FIJI-SUVA-LAN2),SUVA,Central,Fiji,abc,def
